frag_id,fragment,count
0,0,770987116
1,1,580981589
2,2,489570956
3,3,251829342
4,4,203870252
5,5,140399412
6,6,46755763
7,7,45052073
8,8,34879913
9,9,33201031
10,10,27436105
11,11,26359969
12,13,25711150
13,14,23587975
14,12,22183210
15,16,19481791
16,15,19389580
17,17,17710732
18,22,10559388
19,20,9971868
20,23,8766725
21,21,8718952
22,24,7990032
23,26,7196900
24,25,6840539
25,29,5867626
26,30,5836556
27,31,5821084
28,32,5770602
29,33,5496666
30,28,5216807
31,34,5202258
32,35,4961385
33,36,4802538
34,37,4783209
35,38,4637845
36,39,4579421
37,40,4368002
38,42,3686993
39,45,3250458
40,44,3238811
41,48,3003051
42,49,3001162
43,51,2960649
44,43,2958329
45,41,2958204
46,50,2907578
47,52,2517525
48,54,2437392
49,53,2372531
50,47,2271015
51,56,2224682
52,55,2178826
53,60,2147848
54,59,2031948
55,57,1987278
56,61,1765620
57,46,1621566
58,63,1586162
59,58,1579246
60,64,1510767
61,65,1472667
62,67,1403947
63,66,1372452
64,68,1347820
65,71,1321947
66,72,1294631
67,69,1268209
68,75,1261088
69,62,1241763
70,74,1202384
71,70,1195475
72,73,1100526
73,76,1003439
74,77,959509
75,79,954923
76,81,898798
77,82,827762
78,84,823356
79,86,822852
80,83,794628
81,88,766295
82,78,751366
83,85,745312
84,94,699075
85,89,694208
86,93,673122
87,80,672190
88,87,658205
89,92,650027
90,97,645184
91,95,635930
92,96,618779
93,100,599241
94,90,595304
95,98,590772
96,99,568374
97,102,556865
98,105,495210
99,104,489655
100,106,470211
101,109,439582
102,111,439158
103,101,436876
104,110,427524
105,114,421963
106,113,413816
107,118,403232
108,112,383332
109,119,368435
110,116,367779
111,120,367180
112,107,362410
113,115,354200
114,117,349575
115,124,342134
116,126,312424
117,122,312243
118,127,308793
119,129,302917
120,131,295469
121,137,291919
122,123,277158
123,136,273766
124,121,270975
125,141,267887
126,143,265995
127,139,264239
128,130,263865
129,134,263025
130,125,262063
131,142,261760
132,146,256654
133,135,235071
134,145,230425
135,144,229230
136,140,225001
137,147,218170
138,149,213826
139,151,200823
140,150,196771
141,156,194914
142,155,186033
143,165,178558
144,163,177065
145,154,171014
146,158,169954
147,153,169070
148,162,163882
149,160,162846
150,170,161660
151,171,150883
152,164,150573
153,148,148930
154,166,148690
155,168,147144
156,187,145531
157,169,143477
158,184,141229
159,174,140733
160,175,140517
161,177,139811
162,182,139250
163,178,134531
164,192,134471
165,186,133917
166,167,132523
167,181,131037
168,185,129269
169,180,127431
170,199,126305
171,189,126137
172,173,124874
173,197,123583
174,195,122286
175,203,120249
176,183,117827
177,176,117161
178,196,115725
179,188,114841
180,206,114374
181,179,114165
182,193,111514
183,191,110687
184,198,109953
185,172,109148
186,207,107260
187,212,106366
188,205,105982
189,194,105757
190,217,102943
191,218,100216
192,200,100039
193,190,99700
194,220,97093
195,222,93683
196,223,93053
197,208,91595
198,204,91113
199,229,88824
200,235,81964
201,231,81393
202,214,81245
203,225,81205
204,211,80580
205,202,79475
206,152,79080
207,234,77474
208,238,76585
209,209,76490
210,219,76427
211,216,76108
212,232,75751
213,250,75006
214,227,74879
215,161,74369
216,239,73286
217,221,72839
218,247,72504
219,237,71377
220,252,70294
221,243,68646
222,251,68442
223,228,66730
224,233,65921
225,258,65711
226,210,64724
227,271,64515
228,273,63992
229,230,63927
230,264,63848
231,224,63015
232,248,62450
233,262,62430
234,244,60381
235,245,60271
236,256,59553
237,265,59538
238,277,57912
239,255,57373
240,280,57112
241,259,56865
242,267,55982
243,215,55830
244,236,54982
245,241,54840
246,240,52772
247,249,52701
248,299,52147
249,260,51646
250,290,50384
251,266,50038
252,272,49989
253,285,49804
254,294,49734
255,269,49383
256,284,49050
257,302,48638
258,253,48005
259,309,47641
260,282,47548
261,301,47454
262,298,47380
263,291,46953
264,274,46745
265,281,46673
266,303,46102
