cid	smiles	frag_id2smiles	frag_id2neighbors	frag_id2mol_inx
"131313716"	"C=CC(C1=C(C=C(C=C1)C#N)[N+](=O)[O-])N"	{"1": "C=C", "2": "CC", "3": "CC", "4": "CC", "5": "C#N", "6": "C[NH3+]", "7": "[NH2+]=O", "8": "[NH3+][O-]", "9": "CN", "10": "C1=CC=CC=C1", "11": "C", "12": "[NH4+]"}	{"1": [2], "2": [1, 11], "3": [10, 11], "4": [5, 10], "5": [4], "6": [10, 12], "7": [12], "8": [12], "9": [11], "10": [3, 4, 6], "11": [2, 3, 9], "12": [6, 7, 8]}	{"1": [0, 1], "2": [1, 2], "3": [2, 3], "4": [6, 9], "5": [9, 10], "6": [4, 11], "7": [11, 12], "8": [11, 13], "9": [2, 14], "10": [3, 8, 7, 6, 5, 4], "11": [2], "12": [11]}
"130023426"	"CC(CF)(C1=CC2=CC=CC=C2C=C1)N"	{"1": "CC", "2": "CC", "3": "CF", "4": "CC", "5": "CN", "6": "C1=CCCC=C1", "7": "C1=CC=CC=C1", "8": "C"}	{"1": [8], "2": [3, 8], "3": [2], "4": [6, 8], "5": [8], "6": [4, 7], "7": [6], "8": [1, 2, 4, 5]}	{"1": [0, 1], "2": [1, 2], "3": [2, 3], "4": [1, 4], "5": [1, 14], "6": [4, 13, 12, 11, 6, 5], "7": [7, 8, 9, 10, 11, 6], "8": [1]}
"117200791"	"CC1=CC2=C(C=C1)N(C(C2)CC(=O)C)C"	{"1": "CC", "2": "CC", "3": "CC", "4": "C=O", "5": "CC", "6": "CN", "7": "C1=CC=CC=C1", "8": "C1=CNCC1", "9": "C"}	{"1": [7], "2": [3, 8], "3": [2, 9], "4": [9], "5": [9], "6": [8], "7": [1, 8], "8": [2, 6, 7], "9": [3, 4, 5]}	{"1": [0, 1], "2": [8, 10], "3": [10, 11], "4": [11, 12], "5": [11, 13], "6": [7, 14], "7": [1, 6, 5, 4, 3, 2], "8": [7, 4, 3, 9, 8], "9": [11]}
"657881"	"CCOC(=O)C1=C(NSC1=S)C"	{"1": "CC", "2": "CO", "3": "CO", "4": "C=O", "5": "CC", "6": "C=S", "7": "CC", "8": "C1=CNSC1", "9": "C"}	{"1": [2], "2": [1, 3], "3": [2, 9], "4": [9], "5": [8, 9], "6": [8], "7": [8], "8": [5, 6, 7], "9": [3, 4, 5]}	{"1": [0, 1], "2": [1, 2], "3": [2, 3], "4": [3, 4], "5": [3, 5], "6": [9, 10], "7": [6, 11], "8": [5, 6, 7, 8, 9], "9": [3]}
"67104756"	"COC1=CC2=NN=C(C=C2C=C1)C(=O)N"	{"1": "CO", "2": "CO", "3": "CC", "4": "C=O", "5": "CN", "6": "C1=CCCC=C1", "7": "C1=CC=NN=C1", "8": "C"}	{"1": [2], "2": [1, 6], "3": [7, 8], "4": [8], "5": [8], "6": [2, 7], "7": [3, 6], "8": [3, 4, 5]}	{"1": [0, 1], "2": [1, 2], "3": [7, 12], "4": [12, 13], "5": [12, 14], "6": [2, 11, 10, 9, 4, 3], "7": [5, 6, 7, 8, 9, 4], "8": [12]}
"131544292"	"CC1=NSC2=C1C=C(C=C2)C(C#N)N"	{"1": "CC", "2": "CC", "3": "CC", "4": "C#N", "5": "CN", "6": "C1=CSN=C1", "7": "C1=CC=CC=C1", "8": "C"}	{"1": [6], "2": [7, 8], "3": [4, 8], "4": [3], "5": [8], "6": [1, 7], "7": [2, 6], "8": [2, 3, 5]}	{"1": [0, 1], "2": [7, 10], "3": [10, 11], "4": [11, 12], "5": [10, 13], "6": [1, 2, 3, 4, 5], "7": [6, 7, 8, 9, 4, 5], "8": [10]}
"91240659"	"C1CC2CC(C1)(CNC2)Br"	{"1": "C1CC2CNCC(C1)C2", "2": "CBr"}	{"1": [2], "2": [1]}	{"1": [0, 1, 2, 3, 4, 5, 6, 7, 8], "2": [4, 9]}
"134498212"	"C1CN(CCN1)C2=CC=CC=C2N=[N+]=[N-]"	{"1": "C1CNCCN1", "2": "CN", "3": "N=[NH2+]", "4": "[N-]=[NH2+]", "5": "CN", "6": "C1=CC=CC=C1"}	{"1": [5], "2": [3, 6], "3": [2, 4], "4": [3], "5": [1, 6], "6": [5, 2]}	{"1": [0, 5, 4, 3, 2, 1], "2": [11, 12], "3": [12, 13], "4": [13, 14], "5": [2, 6], "6": [7, 8, 9, 10, 11, 6]}
"115900484"	"CC1=CC(=O)N(C=C1)CC2=NN(C=C2)C"	{"1": "CC", "2": "C=O", "3": "CN", "4": "CC", "5": "CN", "6": "C1=CCNC=C1", "7": "C1=C[NH]N=C1"}	{"1": [6], "2": [6], "3": [4, 6], "4": [3, 7], "5": [7], "6": [1, 2, 3], "7": [4, 5]}	{"1": [0, 1], "2": [3, 4], "3": [5, 8], "4": [8, 9], "5": [11, 14], "6": [1, 7, 6, 5, 3, 2], "7": [10, 9, 13, 12, 11]}
"122672119"	"CC1=C(C=CC=N1)NC(=O)C2=COC=N2"	{"1": "CC", "2": "CN", "3": "CN", "4": "C=O", "5": "CC", "6": "C1=CC=NC=C1", "7": "C1=COC=N1", "8": "C"}	{"1": [6], "2": [3, 6], "3": [2, 8], "4": [8], "5": [7, 8], "6": [1, 2], "7": [5], "8": [3, 4, 5]}	{"1": [0, 1], "2": [2, 7], "3": [7, 8], "4": [8, 9], "5": [8, 10], "6": [1, 6, 5, 4, 3, 2], "7": [11, 10, 14, 13, 12], "8": [8]}
"102077805"	"C1=CC(C=C1)C=NC2=CC=C(C=C2)Cl"	{"1": "C1=CCC=C1", "2": "C=N", "3": "CN", "4": "CCl", "5": "CC", "6": "C1=CC=CC=C1"}	{"1": [5], "2": [5, 3], "3": [2, 6], "4": [6], "5": [2, 1], "6": [3, 4]}	{"1": [0, 1, 2, 3, 4], "2": [5, 6], "3": [6, 7], "4": [10, 13], "5": [2, 5], "6": [8, 9, 10, 11, 12, 7]}
"128842085"	"C1CC(CNC1)NC2=NC=C(N=C2)C#N"	{"1": "C1CCNCC1", "2": "CN", "3": "CC", "4": "C#N", "5": "CN", "6": "C1=CN=CC=N1"}	{"1": [5], "2": [5, 6], "3": [4, 6], "4": [3], "5": [2, 1], "6": [2, 3]}	{"1": [0, 5, 4, 3, 2, 1], "2": [6, 7], "3": [10, 13], "4": [13, 14], "5": [2, 6], "6": [8, 9, 10, 11, 12, 7]}
"64298057"	"CCNC(CCCC=C)C1=CC=CC=C1"	{"1": "CC", "2": "CN", "3": "CN", "4": "CC", "5": "CC", "6": "CC", "7": "CC", "8": "C=C", "9": "CC", "10": "C1=CC=CC=C1", "11": "C"}	{"1": [2], "2": [1, 3], "3": [2, 11], "4": [5, 11], "5": [4, 6], "6": [5, 7], "7": [6, 8], "8": [7], "9": [10, 11], "10": [9], "11": [3, 4, 9]}	{"1": [0, 1], "2": [1, 2], "3": [2, 3], "4": [3, 4], "5": [4, 5], "6": [5, 6], "7": [6, 7], "8": [7, 8], "9": [3, 9], "10": [9, 14, 13, 12, 11, 10], "11": [3]}
