frag_id,fragment,count
0,CC,11680
1,C,7604
2,CN,5118
3,CO,3182
4,C=O,1548
5,C1=CC=CC=C1,1530
6,CF,866
7,N,706
8,CS,630
9,S,394
10,C=C,352
11,O=S,336
12,C1=CC=NC=C1,328
13,C#N,238
14,C=N,222
15,CCl,218
16,C1CCNC1,186
17,C[NH3+],170
18,C1CC1,164
19,NO,160
20,[NH4+],140
21,C1CCNCC1,134
22,C1=C[NH]C=C1,126
23,C1=C[NH]N=C1,108
24,C1CCCC1,98
25,NS,94
26,NN,88
27,C1CCC1,80
28,C=S,72
29,P,68
30,[NH2+]=O,64
31,[NH3+][O-],64
32,C1=CCCC=C1,58
33,C1=C[NH]C=N1,56
34,C1=CNCC1,56
35,C1CCCCC1,50
36,C1=COC=C1,48
37,C1CCOCC1,46
38,CP,46
39,C1CCOC1,44
40,C1=CN=CN=C1,44
41,C#C,40
42,OP,40
43,C1=CCNC=C1,40
44,C1=NCCN1,38
45,C1=CCCC1,36
46,C1=CCNCC1,36
47,C1COCCN1,34
48,C1CCSCC1,32
49,CBr,32
50,C1=CSC=C1,30
51,PCl,26
52,C1CCSC1,26
53,C1COCO1,26
54,OS,24
55,C1=CSN=C1,24
56,C1=CSC=N1,24
57,C1=COCCC1,20
58,C1=CON=C1,20
59,C1=CN=CC=N1,20
60,C1=CNCN=C1,20
61,C1=NN=C[NH]1,18
62,C1COCOC1,18
63,C1=CCNC1,18
64,OO,18
65,C1=NN=CO1,16
66,C1CO1,16
67,C1COC1,16
68,C1=C[NH]N=N1,16
69,O=P,16
70,C1CNN=N1,14
71,C1N=NCN1,14
72,C1=NOC=N1,12
73,C[O-],12
74,C1=NOCC1,12
75,C1=NCCNN1,12
76,C1=COCC1,12
77,C1CNC1,12
78,C1=CSCC1,12
79,C1=NN=N[NH]1,12
80,C1=NN=CS1,12
81,C1=[NH+][N-]OC1,10
82,C1CNCCSC1,10
83,C1CSCCN1,10
84,C1=CNSC1,10
85,C1=CNCC=N1,10
86,C1=CCOCC1,10
87,C1=CC=NN=C1,10
88,C1=CNCCC1,10
89,C1CSC1,10
90,C1CCCNCC1,10
91,C1=NNCC1,10
92,C1CNOC1,8
93,C1CNCSC1,8
94,[CH2-][NH3+],8
95,C1=COC=N1,8
96,C1=N[NH]N=N1,8
97,C1OPO1,8
98,N=S,8
99,N=O,8
100,S=S,8
101,C1=NC=NC=N1,6
102,C1=CCCCC1,6
103,C1=NNCCC1,6
104,C1CNCCN1,6
105,C1=NC=NCC1,6
106,C1NN=NN1,6
107,C1=CN=CNC1,6
108,C1=CCC=CC1,6
109,C1=CCOC1,6
110,C1=CSN=N1,6
111,C1=NCCCC1,6
112,C1CCCCCC1,6
113,C1=CNNC1,6
114,C1=NCCOC1,6
115,C1=CCNCC=C1,6
116,C1=CSCN1,6
117,C1=CNCN1,4
118,C1=NCOCC1,4
119,C1=CC2CCC1C2,4
120,C1=CCCNN=C1,4
121,C1COCOCCN1,4
122,C1=CC2CCC1CC2,4
123,[C-]#[NH+],4
124,N=N,4
125,C1CNCCOC1,4
126,C1=NCNN1,4
127,C1=CCONC1,4
128,C1N=NCO1,4
129,C1=CN=CCC1,2
130,C1CC2CNCC(C1)C2,2
131,N=[NH2+],2
132,[N-]=[NH2+],2
133,C1=CCC=C1,2
134,C1=CN=CC1,2
135,SS,2
136,C1=N[NH]C=N1,2
137,C1=CCCOC=C1,2
138,C1=COCCCC1,2
139,C1=NSCN1,2
140,C1=CN=NC=C1,2
141,C1=CNCOC1,2
142,C1=CC2C=CC3NCC2C3C=C1,2
143,C1=COCCN1,2
144,C1CNCOC1,2
