0,nN,nS,nO,nX,nBondsD,nBondsT,naRing,nARing
id6,1,0,1,1,1,0,1,1
id8,0,0,1,0,1,0,1,0
id11,0,0,1,0,1,0,1,0
id17,1,0,1,0,1,0,0,1
id24,1,0,1,1,0,0,1,0
id28,0,0,1,0,1,0,1,0
id32,1,0,0,0,0,1,1,0
id35,1,0,0,1,0,0,1,0
id36,1,0,1,1,0,0,1,1
id37,1,0,0,0,0,0,1,0
id42,1,0,1,0,1,0,1,1
id48,0,0,1,0,1,0,1,1
id53,0,0,1,0,1,0,1,1
id55,1,1,0,1,1,0,1,1
id57,0,0,1,0,1,0,1,1
id60,0,0,1,1,1,0,1,0
id65,1,0,0,1,0,0,1,0
id67,0,0,1,0,1,0,1,1
id75,0,0,1,0,1,0,1,1
id88,1,0,0,1,1,0,1,1
id91,1,0,1,0,0,1,1,1
id99,1,1,1,0,1,1,1,1
id104,1,1,0,0,0,0,1,0
id118,0,1,1,0,1,0,1,0
id131,0,0,1,0,1,0,1,1
id148,1,0,1,0,0,0,1,0
id149,0,0,1,0,1,0,1,0
id162,1,0,0,0,0,0,1,1
id167,0,1,1,0,1,0,1,1
id168,1,1,1,1,1,1,1,0
id173,0,0,1,1,1,0,1,1
id177,0,0,1,0,1,0,1,0
id182,0,0,1,0,1,0,1,1
id183,1,1,1,0,0,0,1,0
id186,1,0,1,1,0,0,1,0
id190,0,0,1,1,1,0,1,1
id194,1,0,1,0,0,0,1,0
id200,0,1,1,0,1,0,1,0
id210,0,0,1,0,1,0,1,0
id252,1,0,1,1,0,0,1,1
id260,0,0,1,0,1,0,1,0
id265,0,0,1,0,0,0,1,0
id288,0,0,1,0,0,0,1,1
id307,1,0,1,0,0,1,1,0
id311,0,0,1,0,1,0,1,1
id314,1,0,1,1,1,0,1,0
id321,0,0,1,0,1,0,1,1
id344,1,1,1,1,1,0,1,1
id366,1,0,1,0,0,1,1,1
id410,1,0,1,1,1,0,1,0
id447,1,1,1,0,1,0,1,1
id478,1,0,1,1,1,0,1,1
id646,1,0,1,0,1,0,1,1
id663,1,0,1,1,1,0,1,1
id690,1,0,1,0,1,0,0,1
id702,1,1,1,0,1,1,1,0
id707,1,1,1,1,1,0,1,0
id728,1,0,1,0,1,0,1,1
id739,1,1,1,0,1,0,1,1
id748,1,1,1,1,1,0,1,0
id754,1,1,1,1,1,0,1,1
id784,1,0,1,1,1,1,1,0
id871,1,1,1,1,1,0,1,0
id882,1,0,1,1,1,0,1,0
id963,1,0,1,0,1,0,1,1
id964,1,0,0,0,0,0,1,0
id965,1,1,0,1,0,0,1,0
id981,1,0,1,1,0,0,1,0
id996,1,0,0,0,0,0,1,1
id1020,1,0,0,1,0,0,1,1
id1021,0,0,1,1,1,0,1,1
id1022,1,0,0,1,0,1,1,1
id1027,1,1,1,1,1,0,1,0
id1052,1,1,1,1,0,0,1,1
id1063,1,1,1,1,1,1,1,0
id1075,1,0,1,1,1,0,1,1
id1081,1,1,1,1,1,1,1,0
id1091,1,1,0,1,0,0,1,0
id1096,1,0,0,0,0,1,1,0
id1109,0,0,1,0,1,0,1,0
id1117,1,1,0,0,0,0,1,0
id1125,1,1,1,0,0,0,1,0
id1133,1,0,1,0,0,1,1,0
id1160,1,1,0,1,0,0,1,0
id1163,1,0,0,0,0,0,1,0
id1167,1,0,0,0,0,0,1,0
id1194,0,0,1,1,1,0,1,1
id1210,1,0,1,0,0,0,1,0
id1228,1,1,1,0,1,0,1,1
